,date_premiere_cap,token,profil_utilisateur,year
60,2021-08-10,ANONYMOUSTOKEN3685,1,2021
61,2022-08-21,23414682,0,2022
62,2020-07-15,ANONYMOUSTOKEN2836,1,2020
63,2021-10-01,42598467,1,2021
64,2021-09-24,38041242,1,2021
65,2022-10-27,69596435,0,2022
66,2019-05-20,ANONYMOUSTOKEN1482,1,2019
67,2019-06-12,06418133,1,2019
68,2019-05-15,sh6jz310,1,2019
69,2019-05-04,ANONYMOUSTOKEN2028,1,2019
70,2019-05-20,61968570,1,2019
71,2019-05-15,34345716,1,2019
72,2022-10-26,ANONYMOUSTOKEN5156,0,2022
73,2022-06-16,ANONYMOUSTOKEN4668,0,2022
74,2019-04-27,67903605,1,2019
75,2019-05-09,32870505,1,2019
76,2021-10-05,ip8r5z10,1,2021
77,2020-10-09,ANONYMOUSTOKEN1257,1,2020
78,2022-10-21,ANONYMOUSTOKEN5090,0,2022
79,2019-05-07,49892228,1,2019
80,2021-09-24,ANONYMOUSTOKEN3994,1,2021
81,2020-01-10,ANONYMOUSTOKEN2751,1,2020
82,2020-10-14,ANONYMOUSTOKEN3526,1,2020
83,2019-05-27,ANONYMOUSTOKEN2452,1,2019
84,2019-04-26,48791759,1,2019
85,2020-10-28,ANONYMOUSTOKEN3549,1,2020
86,2020-01-01,ANONYMOUSTOKEN2628,1,2020
87,2020-07-16,85938359,1,2020
88,2019-04-26,87157957,1,2019
89,2021-09-25,94275575,1,2021
90,2022-10-22,92984902,0,2022
91,2021-12-16,TESTGFIBUGFIXDUS,1,2021
92,2020-09-26,ANONYMOUSTOKEN3446,1,2020
93,2019-04-29,02650050,1,2019
94,2019-05-22,44227238,1,2019
95,2021-09-27,90856944,1,2021
96,2021-09-24,09980433,1,2021
97,2020-01-10,13376728,0,2020
98,2019-05-17,ANONYMOUSTOKEN2326,1,2019
99,2019-04-29,25301263,1,2019
100,2019-04-26,02422081,1,2019
101,2020-01-02,ura9jf10,1,2020
102,2021-10-03,67560677,0,2021
103,2019-06-08,lqod1a10,1,2019
104,2020-09-22,23729256,1,2020
105,2019-04-30,40687391,1,2019
106,2021-10-05,95500856,1,2021
107,2020-07-19,74086432,1,2020
108,2019-07-14,00441250,1,2019
109,2019-05-14,44104099,1,2019
110,2020-10-17,ANONYMOUSTOKEN3532,1,2020
111,2022-08-30,ANONYMOUSTOKEN4778,0,2022
112,2021-10-02,ANONYMOUSTOKEN4279,0,2021
113,2019-05-13,csv2tr10,1,2019
114,2020-10-19,59762623,1,2020
115,2019-04-24,ANONYMOUSTOKEN923,1,2019
116,2020-01-11,57607766,1,2020
117,2022-06-27,48792995,1,2022
118,2021-09-27,28347102,1,2021
119,2019-05-17,81469125,1,2019
120,2020-09-21,04732048,0,2020
121,2019-05-27,kxbnkd10,1,2019
122,2019-04-15,ANONYMOUSTOKEN866,1,2019
123,2019-04-29,19255987,1,2019
124,2022-11-24,79954777,0,2022
125,2022-09-27,ANONYMOUSTOKEN4826,0,2022
126,2021-09-24,84002147,1,2021
127,2020-01-05,97803465,1,2020
128,2020-01-09,ANONYMOUSTOKEN2726,1,2020
129,2019-04-26,ANONYMOUSTOKEN1031,1,2019
130,2022-05-22,ANONYMOUSTOKEN4580,0,2022
131,2021-04-10,60617209,1,2021
132,2020-07-16,86036231,1,2020
133,2019-07-13,14757252,1,2019
134,2021-09-29,71584518,1,2021
135,2020-07-17,43974336,1,2020
136,2020-09-23,ANONYMOUSTOKEN3421,1,2020
137,2020-08-21,26460928,1,2020
138,2019-04-25,35852504,1,2019
139,2021-09-24,64729824,0,2021
140,2021-02-16,ANONYMOUSTOKEN3617,1,2021
141,2020-07-06,ANONYMOUSTOKEN2829,1,2020
142,2019-06-02,zgl7v010,1,2019
143,2020-10-20,ANONYMOUSTOKEN3540,1,2020
144,2019-08-30,ANONYMOUSTOKEN2565,1,2019
145,2020-07-12,ANONYMOUSTOKEN2965,1,2020
146,2019-05-06,64742581,1,2019
147,2021-09-28,64808071,1,2021
148,2021-09-27,ANONYMOUSTOKEN4129,1,2021
149,2022-10-28,22842952,0,2022
150,2021-09-27,s6gr6210,1,2021
151,2022-05-24,16794940,1,2022
152,2019-04-27,ANONYMOUSTOKEN1474,1,2019
153,2022-11-20,ANONYMOUSTOKEN5299,0,2022
154,2022-08-03,ANONYMOUSTOKEN4700,0,2022
155,2019-05-07,24861292,1,2019
156,2019-04-26,79001771,1,2019
157,2019-08-20,g0np5110 ,1,2019
158,2019-05-07,ANONYMOUSTOKEN2098,1,2019
159,2020-09-22,24501172,1,2020
160,2021-10-06,19292848,1,2021
161,2019-05-02,87309866,1,2019
162,2019-08-31,98026739,1,2019
163,2019-07-17,ANONYMOUSTOKEN2539,1,2019
164,2021-01-03,ANONYMOUSTOKEN3588,1,2021
165,2022-11-14,ANONYMOUSTOKEN5275,0,2022
166,2020-12-28,ANONYMOUSTOKEN3585,1,2020
167,2019-04-26,o4w33810,0,2019
168,2019-04-29,87888820,1,2019
169,2020-10-19,ANONYMOUSTOKEN3541,1,2020
170,2021-02-10,ANONYMOUSTOKEN3138,1,2021
171,2022-08-24,ANONYMOUSTOKEN4763,0,2022
172,2021-07-30,ANONYMOUSTOKEN3696,1,2021
173,2022-06-24,ANONYMOUSTOKEN4681,0,2022
174,2020-09-18,ANONYMOUSTOKEN3145,1,2020
175,2019-04-12,mmq2bf10,1,2019
176,2021-09-11,17896153,1,2021
177,2022-11-14,49444932,0,2022
178,2021-09-28,54903530,1,2021
179,2019-04-26,ANONYMOUSTOKEN1195,1,2019
180,2019-04-30,19079539,1,2019
181,2020-09-18,27450616,1,2020
182,2020-09-26,39255690,1,2020
183,2021-09-26,ANONYMOUSTOKEN3874,1,2021
184,2019-05-20,42353076,1,2019
185,2019-04-29,67255062,1,2019
186,2019-05-06,44574636,1,2019
187,2022-11-05,10418937,0,2022
188,2019-04-28,93579024,1,2019
189,2022-10-21,92603275,0,2022
190,2021-09-24,96850638,1,2021
191,2019-07-03,21432126,1,2019
192,2019-05-26,ANONYMOUSTOKEN2446,1,2019
193,2019-05-17,ANONYMOUSTOKEN2289,1,2019
194,2022-10-26,05934607,0,2022
195,2019-05-06,o32js610,1,2019
196,2019-04-27,ANONYMOUSTOKEN1246,1,2019
197,2019-04-19,mlki0810,1,2019
198,2019-04-29,10900031,1,2019
199,2019-05-02,90143919,1,2019
200,2022-10-16,ANONYMOUSTOKEN5015,0,2022
201,2020-07-16,ANONYMOUSTOKEN2966,1,2020
202,2019-04-29,92731389,1,2019
203,2020-09-18,ANONYMOUSTOKEN3209,1,2020
204,2020-09-18,46382941,1,2020
205,2021-09-26,62838252,1,2021
206,2020-09-26,32495805,1,2020
207,2022-09-24,23960676,0,2022
208,2019-04-28,64879616,1,2019
209,2019-05-04,ANONYMOUSTOKEN2057,1,2019
210,2019-05-21,ANONYMOUSTOKEN2431,1,2019
211,2020-07-16,61788387,0,2020
212,2022-10-20,ANONYMOUSTOKEN5078,0,2022
213,2022-09-26,92310994,0,2022
214,2022-10-22,14131364,0,2022
215,2022-10-23,ANONYMOUSTOKEN5120,0,2022
216,2020-07-07,ANONYMOUSTOKEN2839,1,2020
217,2022-06-21,78617502,1,2022
218,2019-04-28,01747546,1,2019
219,2021-10-28,74154022,0,2021
220,2019-05-08,53847326,1,2019
221,2022-10-21,78406982,0,2022
222,2020-07-22,87849086,1,2020
223,2019-05-04,ANONYMOUSTOKEN2086,1,2019
224,2019-05-16,ANONYMOUSTOKEN2248,1,2019
225,2021-01-11,ANONYMOUSTOKEN3321,1,2021
226,2019-04-27,13568139,1,2019
227,2022-01-23,60073438,1,2022
228,2020-09-17,akinot10,1,2020
229,2019-08-16,49031140,1,2019
230,2019-05-30,91668051,1,2019
231,2019-07-22,h80v2o10,1,2019
232,2019-04-14,n8aag910,1,2019
233,2021-09-25,78716264,0,2021
234,2020-07-22,44509304,1,2020
235,2021-09-23,35945703,1,2021
236,2019-06-02,54770212,1,2019
237,2019-05-06,90550589,1,2019
238,2020-10-07,47921525,1,2020
239,2020-01-12,ANONYMOUSTOKEN2776,1,2020
240,2020-10-13,ANONYMOUSTOKEN3116,1,2020
241,2020-01-02,ANONYMOUSTOKEN2655,1,2020
242,2019-04-28,21899181,1,2019
243,2019-04-02,ANONYMOUSTOKEN863,1,2019
244,2019-04-28,72713060,0,2019
245,2022-03-14,uuht2f10,0,2022
246,2020-07-10,ANONYMOUSTOKEN2920,1,2020
247,2019-05-09,ANONYMOUSTOKEN2040,1,2019
248,2019-05-20,ANONYMOUSTOKEN2391,1,2019
249,2019-05-14,41031259,1,2019
250,2021-08-03,80231627,0,2021
251,2020-02-19,65717773,1,2020
252,2019-04-27,ANONYMOUSTOKEN1261,1,2019
253,2019-05-03,iq6nw010,1,2019
254,2019-05-04,62470022,1,2019
255,2019-04-27,57120553,1,2019
256,2019-04-30,78747533,1,2019
257,2021-09-24,54743459,1,2021
258,2022-11-24,17666440,0,2022
259,2019-04-27,ANONYMOUSTOKEN1332,1,2019
260,2021-09-22,TESTGFINBOSONY25T,1,2021
261,2021-09-27,ANONYMOUSTOKEN4179,1,2021
262,2020-09-22,55163755,1,2020
263,2019-04-10,nhnus710,0,2019
264,2019-04-24,54211765,1,2019
265,2019-06-11,ANONYMOUSTOKEN2486,1,2019
266,2022-05-27,ANONYMOUSTOKEN4599,0,2022
267,2019-04-30,54061204,1,2019
268,2019-08-29,ANONYMOUSTOKEN2587,1,2019
269,2021-09-24,ANONYMOUSTOKEN4096,1,2021
270,2020-11-14,60227197,1,2020
271,2020-02-07,ANONYMOUSTOKEN2708,1,2020
272,2022-08-21,ANONYMOUSTOKEN4719,0,2022
273,2020-09-21,ANONYMOUSTOKEN3359,1,2020
274,2019-05-06,ANONYMOUSTOKEN2085,1,2019
275,2019-04-24,lzp1q310,1,2019
276,2021-10-01,70624415,1,2021
277,2022-09-25,92957585,0,2022
278,2019-05-02,08646795,1,2019
279,2020-07-10,ANONYMOUSTOKEN2878,1,2020
280,2019-04-23,ANONYMOUSTOKEN884,1,2019
281,2020-07-16,39313047,1,2020
282,2020-10-11,fr8ecc10,1,2020
283,2020-09-19,47354863,1,2020
284,2019-04-29,99408250,1,2019
285,2022-06-11,48829126,1,2022
286,2019-04-28,ANONYMOUSTOKEN1734,1,2019
287,2020-01-15,86545157,1,2020
288,2020-10-10,ANONYMOUSTOKEN1644,1,2020
289,2020-07-28,47986129,1,2020
290,2019-04-29,48140595,0,2019
291,2020-08-17,96461272,1,2020
292,2019-05-18,58658778,1,2019
293,2020-10-19,ANONYMOUSTOKEN3542,1,2020
294,2021-09-25,48886001,1,2021
295,2019-05-17,ANONYMOUSTOKEN2294,1,2019
296,2019-05-28,27753397,1,2019
297,2020-01-15,99189874,1,2020
298,2020-07-13,ANONYMOUSTOKEN2971,1,2020
299,2019-04-26,ANONYMOUSTOKEN1151,1,2019
300,2020-08-18,51991849,1,2020
301,2019-05-06,43661346,1,2019
302,2019-05-20,ANONYMOUSTOKEN1943,1,2019
303,2019-04-29,51781308,1,2019
304,2019-05-19,19328232,1,2019
305,2020-03-17,ANONYMOUSTOKEN2800,1,2020
306,2019-04-28,16806210,1,2019
307,2020-06-15,ANONYMOUSTOKEN2006,1,2020
308,2020-09-30,64610512,1,2020
309,2020-10-19,ANONYMOUSTOKEN3546,1,2020
310,2020-10-20,51135634,0,2020
311,2020-07-17,08742503,1,2020
312,2019-04-30,25382166,1,2019
313,2019-08-25,ANONYMOUSTOKEN1701,1,2019
314,2019-09-07,lxkm9210,1,2019
315,2019-06-17,ANONYMOUSTOKEN2458,1,2019
316,2019-04-26,43106649,1,2019
317,2020-07-17,25399713,1,2020
318,2019-05-26,x0vwnk10,1,2019
319,2020-12-03,97274488,1,2020
320,2019-05-26,84173519,0,2019
321,2019-04-27,45638742         ,1,2019
322,2019-04-29,50606246,1,2019
323,2021-03-26,99953416,1,2021
324,2019-05-16,25317808,1,2019
325,2019-04-30,ANONYMOUSTOKEN1847,1,2019
326,2019-05-06,26648682,1,2019
327,2019-05-16,24649628,1,2019
328,2020-07-12,ANONYMOUSTOKEN2952,1,2020
329,2019-05-04,20433806,1,2019
330,2021-10-10,ANONYMOUSTOKEN4265,0,2021
331,2019-04-29,54239230,1,2019
332,2019-05-04,62666417,1,2019
333,2020-01-04,ANONYMOUSTOKEN2650,1,2020
334,2022-08-22,ANONYMOUSTOKEN4734,0,2022
335,2022-09-13,ANONYMOUSTOKEN4787,0,2022
336,2020-01-11,mezy2d10,1,2020
337,2019-04-29,ANONYMOUSTOKEN1780,1,2019
338,2022-11-29,17481971,0,2022
339,2019-04-26,55233255,1,2019
340,2019-07-31,mymtua10,1,2019
341,2019-06-24,hsm4i910,1,2019
342,2022-05-06,ANONYMOUSTOKEN4563,1,2022
343,2019-05-17,41552778,1,2019
344,2021-09-26,48957537,0,2021
345,2022-10-25,52289188,0,2022
346,2019-05-02,ANONYMOUSTOKEN862,1,2019
347,2022-10-29,59434319,0,2022
348,2020-07-10,ANONYMOUSTOKEN2824,1,2020
349,2019-04-27,46601607,1,2019
350,2019-07-17,98164319,0,2019
351,2020-09-18,ANONYMOUSTOKEN3233,1,2020
352,2019-05-17,20007780,1,2019
353,2019-01-01,,1,2019
354,2019-05-20,94904564,1,2019
355,2019-05-04,82475120,1,2019
356,2021-09-29,94517841,1,2021
357,2021-09-04,TESTGFINBO1,1,2021
358,2022-06-17,49796735,0,2022
359,2020-07-10,ANONYMOUSTOKEN2889,1,2020
360,2019-04-29,ANONYMOUSTOKEN1814,1,2019
361,2020-09-21,ANONYMOUSTOKEN3342,1,2020
362,2020-09-22,90393563,1,2020
363,2021-08-10,ANONYMOUSTOKEN3684,1,2021
364,2019-04-29,71093578,1,2019
365,2019-04-29,ruco5q10,1,2019
366,2020-09-18,ANONYMOUSTOKEN2766,1,2020
367,2020-07-18,ANONYMOUSTOKEN2929,1,2020
368,2020-10-08,41157143,1,2020
369,2022-05-28,60985027,1,2022
370,2021-11-02,62339863,1,2021
371,2022-06-15,j31a5210,0,2022
372,2019-04-27,62638519,1,2019
373,2020-09-20,37963034,1,2020
374,2021-09-24,48675327,1,2021
375,2022-08-20,05628448,0,2022
376,2019-05-01,15069161,1,2019
377,2020-07-15,48054346,1,2020
378,2021-10-02,62613272,0,2021
379,2019-05-01,50972719,1,2019
380,2019-05-07,ANONYMOUSTOKEN2141,1,2019
381,2019-05-22,27128655,1,2019
382,2022-10-03,ANONYMOUSTOKEN4864,0,2022
383,2019-04-29,66884651,1,2019
384,2020-09-18,ANONYMOUSTOKEN3257,1,2020
385,2021-10-01,36537672,1,2021
386,2019-04-30,24726429,1,2019
387,2022-10-08,ANONYMOUSTOKEN4896,0,2022
388,2019-04-27,ANONYMOUSTOKEN1039,1,2019
389,2019-04-29,00662035,1,2019
390,2019-04-29,44743283,1,2019
391,2020-10-12,69449256,1,2020
392,2019-04-27,91361072,0,2019
393,2020-07-17,68207980,1,2020
394,2019-04-30,zzy01d10,0,2019
395,2020-10-10,23022933,1,2020
396,2021-08-06,naopu010,1,2021
397,2022-10-21,ANONYMOUSTOKEN5087,0,2022
398,2019-04-29,66668847,0,2019
399,2019-05-17,41895199,1,2019
400,2019-05-17,94873005,1,2019
401,2019-05-09,50372514,1,2019
402,2020-09-21,ANONYMOUSTOKEN3398,1,2020
403,2021-09-24,ANONYMOUSTOKEN3965,1,2021
404,2022-09-26,94664812,0,2022
405,2020-07-10,ANONYMOUSTOKEN2855,1,2020
406,2020-01-19,ANONYMOUSTOKEN2778,1,2020
407,2022-10-21,38437210,0,2022
408,2022-10-23,ANONYMOUSTOKEN5125,0,2022
409,2019-08-29,61867140,1,2019
410,2019-04-25,gur8zr10,1,2019
411,2020-03-16,ANONYMOUSTOKEN2332,1,2020
412,2021-03-07,ANONYMOUSTOKEN3629,1,2021
413,2020-07-08,ANONYMOUSTOKEN2831,1,2020
414,2022-03-13,57977935,1,2022
415,2021-09-25,ANONYMOUSTOKEN4112,1,2021
416,2020-01-12,03790542,1,2020
417,2022-11-16,74530162,0,2022
418,2019-05-03,20707081,1,2019
419,2021-10-26,18468839,1,2021
420,2019-04-27,21923615,0,2019
421,2021-03-23,47557462,1,2021
422,2019-05-05,54222228,1,2019
423,2019-04-30,ANONYMOUSTOKEN1693,1,2019
424,2021-09-29,90126046,1,2021
425,2019-05-01,43647599,1,2019
426,2019-04-30,50237669,1,2019
427,2021-09-29,63187695,1,2021
428,2020-01-13,95549203,1,2020
429,2021-09-30,25802212,1,2021
430,2020-12-26,ANONYMOUSTOKEN3576,1,2020
431,2019-04-27,40001332,1,2019
432,2019-05-10,52850519,1,2019
433,2020-01-10,g0np5110,1,2020
434,2022-11-17,ANONYMOUSTOKEN4801,0,2022
435,2020-09-18,69819268,1,2020
436,2021-09-24,71121257,1,2021
437,2021-09-30,37748628,1,2021
438,2022-10-14,ANONYMOUSTOKEN4970,0,2022
439,2019-04-27,30519235,1,2019
440,2019-04-29,96464464,1,2019
441,2019-04-26,ANONYMOUSTOKEN1060,1,2019
442,2021-11-05,29246326,0,2021
443,2020-07-20,85277319,1,2020
444,2020-07-15,08986671,1,2020
445,2020-10-12,ANONYMOUSTOKEN3518,1,2020
446,2019-09-07,ANONYMOUSTOKEN950,1,2019
447,2019-06-24,ANONYMOUSTOKEN2477,1,2019
448,2020-09-18,50405212,1,2020
449,2021-09-23,ANONYMOUSTOKEN3856,1,2021
450,2020-01-01,ANONYMOUSTOKEN2252,1,2020
451,2022-09-24,27874647,0,2022
452,2021-09-24,ANONYMOUSTOKEN4050,1,2021
453,2020-01-10,ANONYMOUSTOKEN2652,1,2020
454,2019-04-23,75553080,0,2019
455,2019-05-05,ANONYMOUSTOKEN2102,1,2019
456,2021-06-09,55330622,1,2021
457,2021-09-30,60724030,1,2021
458,2020-07-12,ANONYMOUSTOKEN2951,1,2020
459,2019-05-19,ANONYMOUSTOKEN2394,1,2019
460,2019-05-17,30266144,1,2019
461,2022-09-01,ANONYMOUSTOKEN4780,0,2022
462,2021-09-25,69039438,1,2021
463,2021-09-24,38817022,0,2021
464,2021-02-11,ANONYMOUSTOKEN3256,1,2021
465,2019-05-23,a6sfk110,1,2019
466,2022-10-15,36183748,0,2022
467,2020-07-16,40293281,1,2020
468,2019-04-27,88947528,1,2019
469,2019-05-17,98211668,1,2019
470,2022-09-24,ANONYMOUSTOKEN4795,0,2022
471,2021-10-11,96834456,0,2021
472,2019-04-23,ANONYMOUSTOKEN872,1,2019
473,2022-10-20,74438429,0,2022
474,2019-05-02,89264994,1,2019
475,2019-05-18,ANONYMOUSTOKEN2375,1,2019
476,2020-09-18,65620242,1,2020
477,2021-09-24,87894053,1,2021
478,2019-04-16,h3x5ha10,1,2019
479,2020-07-17,11802691,1,2020
480,2020-01-05,47809551,1,2020
481,2019-06-24,wqup9j10,1,2019
482,2022-11-04,60486608,0,2022
483,2019-05-06,57893236,1,2019
484,2019-05-01,54192679,1,2019
485,2019-04-28,61222637,1,2019
486,2020-01-10,77059539,1,2020
487,2019-05-21,91361354,1,2019
488,2022-08-21,ANONYMOUSTOKEN4739,0,2022
489,2020-09-20,87502602,0,2020
490,2019-05-11,87160137,1,2019
491,2020-09-19,91958176,1,2020
492,2019-05-31,95637628,1,2019
493,2020-09-18,ANONYMOUSTOKEN3237,1,2020
494,2021-09-24,ANONYMOUSTOKEN3948,1,2021
495,2021-09-25,ANONYMOUSTOKEN3820,1,2021
496,2022-10-21,73847197,0,2022
497,2021-09-30,45751297,1,2021
498,2021-10-11,94834413,0,2021
499,2019-04-26,76933532,1,2019
500,2019-04-27,77775073,1,2019
501,2021-10-09,ANONYMOUSTOKEN4440,1,2021
502,2022-07-23,ANONYMOUSTOKEN4239,0,2022
503,2022-05-25,31489134,0,2022
504,2020-07-21,ANONYMOUSTOKEN2891,1,2020
505,2020-01-10,hinjcr10,1,2020
506,2020-07-13,ANONYMOUSTOKEN2877,1,2020
507,2020-01-19,ANONYMOUSTOKEN1949,1,2020
508,2020-07-10,ANONYMOUSTOKEN2886,1,2020
509,2020-07-10,ANONYMOUSTOKEN2900,1,2020
510,2021-09-20,ANONYMOUSTOKEN3726,0,2021
511,2022-06-18,ANONYMOUSTOKEN4671,0,2022
512,2019-08-29,ANONYMOUSTOKEN2564,1,2019
513,2019-06-26,akf37z10,0,2019
514,2019-04-29,04735981,1,2019
515,2020-01-20,ANONYMOUSTOKEN2709,1,2020
516,2019-05-04,89287136,1,2019
517,2022-11-14,74578990,0,2022
518,2019-05-19,29674550,1,2019
519,2019-04-24,21022432,1,2019
520,2019-05-18,33948779,1,2019
521,2020-07-09,ANONYMOUSTOKEN2868,1,2020
522,2019-05-17,26140216,1,2019
523,2019-06-08,64647798,1,2019
524,2019-05-10,ANONYMOUSTOKEN972,1,2019
525,2022-11-14,ANONYMOUSTOKEN5267,0,2022
526,2020-09-18,86756834,1,2020
527,2020-10-09,19531456,1,2020
528,2020-10-06,97571429,1,2020
529,2019-04-27,96179460,0,2019
530,2020-11-10,ANONYMOUSTOKEN3558,0,2020
531,2019-04-24,c0e6ej10,1,2019
532,2019-05-01,33115617,1,2019
533,2019-07-19,71461793,1,2019
534,2020-08-29,76555592,1,2020
535,2019-04-29,93871140,1,2019
536,2021-09-12,TESTGFINBOTAB22b,1,2021
537,2021-10-23,74660278,1,2021
538,2022-10-20,ANONYMOUSTOKEN5071,0,2022
539,2020-07-16,01998953,1,2020
540,2020-06-04,ANONYMOUSTOKEN2819,1,2020
541,2019-07-13,or6jwz10,1,2019
542,2019-06-15,99993571,1,2019
543,2020-07-24,75397909,1,2020
544,2019-04-29,31608071,1,2019
545,2019-04-26,ANONYMOUSTOKEN1091,1,2019
546,2022-11-04,ANONYMOUSTOKEN5226,0,2022
547,2021-09-28,12821299,1,2021
548,2021-09-29,29276709,1,2021
549,2019-04-28,79942155,1,2019
550,2022-05-23,ANONYMOUSTOKEN4595,1,2022
551,2021-10-05,35125555,1,2021
552,2022-10-22,31862057,0,2022
553,2022-10-23,ANONYMOUSTOKEN5008,0,2022
554,2019-04-27,78786142,0,2019
555,2020-09-19,15487974,1,2020
556,2019-04-24,ANONYMOUSTOKEN911,1,2019
557,2019-05-07,ANONYMOUSTOKEN2120,1,2019
558,2019-05-16,ANONYMOUSTOKEN2257,1,2019
559,2019-05-01,30760532,1,2019
560,2020-09-19,ANONYMOUSTOKEN3251,1,2020
561,2021-10-06,ANONYMOUSTOKEN4412,1,2021
562,2020-07-11,ANONYMOUSTOKEN2933,1,2020
563,2019-04-28,ANONYMOUSTOKEN1747,1,2019
564,2022-10-23,97800047,0,2022
565,2019-04-29,74641145,1,2019
566,2022-10-08,70042444,0,2022
567,2019-05-23,cctyq410,1,2019
568,2020-01-21,16491348,1,2020
569,2019-05-17,51281595,1,2019
570,2020-09-21,04457701,1,2020
571,2019-04-28,dha2gs10,1,2019
572,2021-11-04,ANONYMOUSTOKEN4497,1,2021
573,2019-04-26,07875018,1,2019
574,2020-07-11,ANONYMOUSTOKEN2902,1,2020
575,2019-04-28,ANONYMOUSTOKEN864,1,2019
576,2022-04-10,ANONYMOUSTOKEN4556,1,2022
577,2021-09-28,35852466,1,2021
578,2020-09-18,47637094,1,2020
579,2019-04-26,00412702,1,2019
580,2021-10-10,36853806,1,2021
581,2019-05-09,55485056,1,2019
582,2020-09-21,44527902,1,2020
583,2019-08-30,22015854,1,2019
584,2019-05-04,31777425,1,2019
585,2020-01-24,ANONYMOUSTOKEN1163,1,2020
586,2022-11-05,91190351,0,2022
587,2021-10-05,98738668,1,2021
588,2022-10-20,18853486,0,2022
589,2022-09-30,42167132,0,2022
590,2019-04-29,04940311,1,2019
591,2019-08-13,ANONYMOUSTOKEN1372,1,2019
592,2019-04-28,43242517,1,2019
593,2019-08-25,ANONYMOUSTOKEN2557,1,2019
594,2019-04-30,15788970,1,2019
595,2019-04-25,17039430,1,2019
596,2022-11-04,90659718,0,2022
597,2019-05-17,ANONYMOUSTOKEN1132,1,2019
598,2021-09-29,08202536,1,2021
599,2020-09-18,87183468,1,2020
600,2020-09-17,55430053,1,2020
601,2019-08-18,ANONYMOUSTOKEN2554,1,2019
602,2019-06-05,jehmzf10,1,2019
603,2019-04-26,07724897 ,1,2019
604,2020-09-19,ANONYMOUSTOKEN3329,1,2020
605,2020-01-14,15587704,1,2020
606,2020-01-09,27510287,1,2020
607,2022-11-14,77342770,0,2022
608,2021-09-23,14854579,0,2021
609,2019-05-07,09404634,1,2019
610,2020-01-13,82901035,1,2020
611,2021-10-10,ANONYMOUSTOKEN3939,1,2021
612,2019-04-28,ANONYMOUSTOKEN1455,1,2019
613,2019-05-20,ANONYMOUSTOKEN2384,1,2019
614,2021-09-29,ANONYMOUSTOKEN4365,1,2021
615,2021-09-30,30817176,1,2021
616,2019-04-29,68357204,1,2019
617,2019-04-28,85271313,1,2019
618,2022-10-14,66316373,0,2022
619,2019-04-30,36123577,1,2019
620,2020-09-23,77309793,1,2020
621,2019-05-15,ANONYMOUSTOKEN2232,1,2019
622,2019-08-30,TESTGFIGP0,1,2019
623,2019-05-03,91258007,1,2019
